id,CreationTime,ExcerciseID,Excercise,Excercise_Completion
28cdf36d-c7e9-41cd-8a16-a27530ec075a,3/29/2020,761539381-7,CDMA2000,6/16/2020
adb86f8f-f3ef-4723-b7a4-a43336f1f6e7,7/15/2020,319042552-3,TUPE,3/22/2019
6b668755-21cd-4e62-bc80-e0f83cfa138e,7/11/2019,223714695-0,CTRM,7/26/2018
e485fd54-098a-4634-927c-88283d740210,5/23/2020,105178173-6,Hg,3/4/2018
4ff93099-9dab-492d-a94f-fac40ad2ba13,11/19/2017,959753441-X,Project Estimation,1/27/2018
638a0f50-a2d1-4465-8c8f-4cd170cd66b7,10/30/2018,707955449-7,JBA,5/29/2019
a362a349-b1b4-4c08-88c6-471a8bc15a8b,7/21/2020,627960945-6,FX Hedging,3/9/2019
8e11fc91-efa8-420f-bb54-9a4c93599f8f,5/24/2019,698717620-5,JSP440,6/2/2019
58465e50-d3de-4281-9511-1b3b4b27502d,10/18/2018,428183134-7,VRF,12/19/2019
f803adb6-c830-4810-85d0-3b775c84f85c,1/4/2018,532714245-0,Professional Services,4/4/2018
d04c4a3d-95ff-42e8-afa2-9af0a20ff64d,11/21/2019,238996560-1,xPON,7/4/2020
223b87b0-2f6a-4749-aa0c-76d600f56b72,10/12/2019,436771560-4,TBS,2/3/2020
c04263e5-c113-423f-94f2-3472d75a6f7c,9/3/2019,578965024-4,Legal Writing,6/25/2020
ecd222a0-3856-4629-9996-38920e50a97e,6/1/2018,418793951-2,Registered Patent Attorney,12/25/2017
864c7d80-5aa0-439d-b2b8-d998f23ba392,3/25/2020,264462564-5,IOS Firewall,3/18/2018
2574019e-6644-4add-b5be-f36270d3204b,3/16/2018,602817617-6,Factory,3/12/2020
45793fbb-7fda-4cb0-b62b-2b95b4f19e81,1/15/2018,298932840-8,Theory,10/24/2018
850fe8e3-a17e-470e-9f0c-747c78c79e3a,4/24/2018,474769375-0,PXI,11/18/2018
1813028d-4326-4472-a0e3-3e8be9ada091,10/10/2018,332459890-7,Facebook,6/23/2018
1a8b6d1e-e2c5-4080-a62a-185c22842dce,8/24/2018,784869766-5,GVP,12/13/2017
db2d255e-55dc-4b34-9514-9896a23e06a9,7/28/2020,947027953-0,CDISC,12/8/2019
ac234730-5726-48ee-8dc9-83952c520ff7,9/12/2018,095405000-2,CgFX,3/22/2018
ba9fd3ce-1ffa-4b44-8e36-06db2bb303c5,11/15/2017,818234417-4,NCQA,5/5/2019
f0301b5e-d34c-4da4-b2d0-c119ab9d2d92,1/24/2020,639661833-8,Lubrication,1/10/2020
3f27d93e-db92-40db-9ac3-0c2a3877a7ae,11/6/2019,604909924-3,Kosher,11/8/2019
da5a7f03-4b26-4edf-84ff-196630724dbc,3/20/2018,821264350-6,CDMA,7/28/2018
2771ef30-1ec8-442d-8cee-ebf8aa4d4335,1/1/2018,879748436-9,Ntop,11/30/2018
f1948da8-d127-49b1-aa2f-4ecbaebdf856,11/2/2020,507909337-4,People Management,6/15/2020
1797ffe2-2af7-4287-9ca5-3bea3d9925ca,5/9/2020,947813930-4,Visual Arts,12/10/2017
31bf7522-fe44-489f-a0a1-ef3ec3f492b8,2/4/2020,177829384-0,AP Style,1/13/2018
